,Name,Episodes,Release,Members,Score
0,Sousou no Frieren,28,Sep 2023 -,493571,9.13
1,Fullmetal Alchemist: Brotherhood,64,Apr 2009 - Jul 2010,3292928,9.09
2,Steins;Gate,24,Apr 2011 - Sep 2011,2526417,9.07
3,Gintama°,51,Apr 2015 - Mar 2016,620676,9.06
4,Shingeki no Kyojin Season 3 Part 2,10,Apr 2019 - Jul 2019,2227792,9.05
5,Hunter x Hunter (2011),148,Oct 2011 - Sep 2014,2777142,9.04
6,Bleach: Sennen Kessen-hen,13,Oct 2022 - Dec 2022,515883,9.03
7,Gintama',51,Apr 2011 - Mar 2012,547553,9.03
8,Gintama': Enchousen,13,Oct 2012 - Mar 2013,320825,9.02
9,Kaguya-sama wa Kokurasetai: Ultra Romantic,13,Apr 2022 - Jun 2022,896876,9.02
10,Fruits Basket: The Final,13,Apr 2021 - Jun 2021,463893,8.98
11,Gintama.,12,Jan 2017 - Mar 2017,309871,8.98
12,Gintama,201,Apr 2006 - Mar 2010,1052917,8.94
13,Clannad: After Story,24,Oct 2008 - Mar 2009,1179612,8.93
14,3-gatsu no Lion 2nd Season,22,Oct 2017 - Mar 2018,396531,8.92
15,Code Geass: Hangyaku no Lelouch R2,25,Apr 2008 - Sep 2008,1757049,8.91
16,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,14,Jul 2018 - Oct 2018,195038,8.88
17,Jujutsu Kaisen 2nd Season,23,Jul 2023 - Dec 2023,808081,8.88
18,Monster,74,Apr 2004 - Sep 2005,1087381,8.88
19,Owarimonogatari 2nd Season,7,Aug 2017 - Aug 2017,393544,8.87
20,Kingdom 3rd Season,26,Apr 2020 - Oct 2021,98724,8.82
21,Kusuriya no Hitorigoto,24,Oct 2023 -,253268,8.81
22,Gintama.: Shirogane no Tamashii-hen,12,Jan 2018 - Mar 2018,209304,8.81
23,Vinland Saga Season 2,24,Jan 2023 - Jun 2023,561587,8.8
24,Bocchi the Rock!,12,Oct 2022 - Dec 2022,525857,8.8
25,Mob Psycho 100 II,13,Jan 2019 - Apr 2019,1499730,8.79
26,Shingeki no Kyojin: The Final Season,16,Dec 2020 - Mar 2021,1953742,8.79
27,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,10,Oct 2016 - Dec 2016,1182845,8.78
28,Hajime no Ippo,75,Oct 2000 - Mar 2002,579522,8.77
29,Kimetsu no Yaiba: Yuukaku-hen,11,Dec 2021 - Feb 2022,1375676,8.77
30,Shingeki no Kyojin: The Final Season Part 2,12,Jan 2022 - Apr 2022,1246759,8.77
31,Monogatari Series: Second Season,26,Jul 2013 - Dec 2013,663038,8.76
32,Vinland Saga,24,Jul 2019 - Dec 2019,1467712,8.75
